date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:39	5730/5730	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:39%20GMT	http://schema.org/ReservationPending	/home/dmk/websites/TemplateFoot02/schema.org/ReservationPending.html	(from http://schema.org/ReservationStatusType)
02:23:39	6224/6224	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:39%20GMT	http://schema.org/specialty	/home/dmk/websites/TemplateFoot02/schema.org/specialty-2.html	(from http://schema.org/Specialty)
02:23:40	6235/6235	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:39%20GMT	http://schema.org/warrantyScope	/home/dmk/websites/TemplateFoot02/schema.org/warrantyScope-2.html	(from http://schema.org/WarrantyScope)
02:23:49	117786/117786	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:48%20GMT	http://champion.stylemixthemes.com/product-category/clothing/?add-to-cart=70	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/indexf6b1.html	(from http://champion.stylemixthemes.com/product-category/clothing/page/1/?add-to-cart=70)
02:23:49	117788/117788	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:48%20GMT	http://champion.stylemixthemes.com/product-category/clothing/?add-to-cart=56	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/index6fc7.html	(from http://champion.stylemixthemes.com/product-category/clothing/page/1/?add-to-cart=56)
02:23:49	117798/117798	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:48%20GMT	http://champion.stylemixthemes.com/product-category/clothing/?add-to-cart=76	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/index499f.html	(from http://champion.stylemixthemes.com/product-category/clothing/page/1/?add-to-cart=76)
02:23:50	117793/117793	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:48%20GMT	http://champion.stylemixthemes.com/product-category/clothing/?add-to-cart=73	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/index18c1.html	(from http://champion.stylemixthemes.com/product-category/clothing/page/1/?add-to-cart=73)
02:23:51	117788/117788	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:51%20GMT	http://champion.stylemixthemes.com/product-category/clothing/?add-to-cart=93	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/index3d03.html	(from http://champion.stylemixthemes.com/product-category/clothing/page/1/?add-to-cart=93)
02:23:52	118154/118154	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:51%20GMT	http://champion.stylemixthemes.com/product-category/clothing/t-shirts/?add-to-cart=76	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/t-shirts/index499f.html	(from http://champion.stylemixthemes.com/product-category/clothing/t-shirts/page/1/?add-to-cart=76)
02:23:54	118142/118142	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:52%20GMT	http://champion.stylemixthemes.com/product-category/clothing/t-shirts/?add-to-cart=70	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/t-shirts/indexf6b1.html	(from http://champion.stylemixthemes.com/product-category/clothing/t-shirts/page/1/?add-to-cart=70)
02:23:55	118149/118149	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:54%20GMT	http://champion.stylemixthemes.com/product-category/clothing/t-shirts/?add-to-cart=73	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/t-shirts/index18c1.html	(from http://champion.stylemixthemes.com/product-category/clothing/t-shirts/page/1/?add-to-cart=73)
02:23:56	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225604d8ad-add%22	http://cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress.js?ver=1462583457	/home/dmk/websites/TemplateFoot02/cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress6bd7.js	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=87)
02:23:57	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225604d8ad-add%22	http://cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress.js?ver=1462583458	/home/dmk/websites/TemplateFoot02/cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspresscee0.js	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=83)
02:23:57	118144/118144	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:56%20GMT	http://champion.stylemixthemes.com/product-category/clothing/t-shirts/?add-to-cart=93	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/product-category/clothing/t-shirts/index3d03.html	(from http://champion.stylemixthemes.com/product-category/clothing/t-shirts/page/1/?add-to-cart=93)
02:23:58	95755/95755	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:57%20GMT	http://champion.stylemixthemes.com/shop/page/2/?layout=sidebar_right%26add-to-cart%3D87	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/shop/page/2/indexff40.html	(from http://champion.stylemixthemes.com/shop/page/2/?layout=sidebar_right%26add-to-cart=87)
02:23:58	0/0	---M-Z	302	error ('Found')	text/html	date:Sat,%2007%20May%202016%2001:23:58%20GMT	http://champion.stylemixthemes.com/cart/?undo_item=c7e1249ffc03eb9ded908c236bd1996d&_wpnonce=5b701320e9	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/cart/indexc88e.html	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=87)
02:23:59	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225604d8ad-add%22	http://cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress.js?ver=1462583472	/home/dmk/websites/TemplateFoot02/cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspressac6c.js	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=99)
02:23:59	0/0	---M-Z	302	error ('Found')	text/html	date:Sat,%2007%20May%202016%2001:23:59%20GMT	http://champion.stylemixthemes.com/cart/?undo_item=ac627ab1ccbdb62ec96e702f07f6425b&_wpnonce=5b701320e9	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/cart/index699e.html	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=87)
02:23:59	0/0	---M-Z	302	error ('Found')	text/html	date:Sat,%2007%20May%202016%2001:23:59%20GMT	http://champion.stylemixthemes.com/cart/?undo_item=7cbbc409ec990f19c78c75bd1e06f215&_wpnonce=5b701320e9	/home/dmk/websites/TemplateFoot02/champion.stylemixthemes.com/cart/indexc31c.html	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=87)
02:23:59	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225604d8ad-add%22	http://cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress.js?ver=1462583475	/home/dmk/websites/TemplateFoot02/cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspressae24.js	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=60)
02:23:59	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%225604d8ad-add%22	http://cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress.js?ver=1462583476	/home/dmk/websites/TemplateFoot02/cdn.champion.stylemixthemes.com/wp-content/plugins/sportspress/assets/js/sportspress339e.js	(from http://champion.stylemixthemes.com/shop/?layout=sidebar_right%26add-to-cart=56)
